Strompreis [Euro/kWh],Netzlast [kW]
0.2755326,0.475254516
0.2823989,0.299595763
0.2948582,0.461006639
0.2881585,0.838965723
0.2783053,0.905813638
0.2719031,0.837209136
0.2675596,0.947678974
0.2556834,0.960072675
0.2422245,0.708490305
0.2280754,0.466569166
0.2207926,0.471155812
0.2252908,0.309549759
0.2229346,0.351805448
0.2232559,0.642813449
0.2323951,0.662526264
0.2534462,0.400697134
0.267512,0.454175465
0.2674882,0.449100879
0.2551717,0.825693729
0.2489837,0.228356379
0.2491741,0.194395687
0.2492217,0.196347451
0.2612645,0.188930748
0.2647869,0.277443242
0.2715223,0.475254516
0.2816016,0.299595763
0.2943822,0.461006639
0.2913001,0.838965723
0.2774842,0.905813638
0.2737238,0.837209136
0.2732478,0.947678974
0.2588488,0.960072675
0.2547909,0.294162721
0.2247315,0.273886734
0.2166276,0.263051419
0.2135931,0.26326598
0.2127839,0.265518867
0.2127839,0.634026871
0.2127839,0.313687744
0.2140334,0.262515017
0.2233392,0.289335105
0.2244816,0.811683131
0.2257192,0.872940211
0.2280278,0.388140308
0.2292297,0.625229882
0.2182817,0.471818981
0.2243507,0.259189326
0.2314907,0.368615284
0.2347156,0.199434171
0.2590868,0.270882885
0.2675358,0.438991194
0.2558262,0.639283608
0.2473534,0.840863386
0.2419627,0.869292679
0.2418675,1.368146308
0.2134622,0.20512003
0.2127839,0.301564381
0.2127482,0.262652848
0.2127006,0.304482746
0.2126292,0.265571213
0.2127244,0.297673228
0.2132837,0.278217461
0.2591582,0.496122046
0.2828868,0.823951712
0.2869447,0.782121814
0.2804473,1.068121582
0.2757706,0.604101551
0.2605624,0.577836266
0.2211734,0.567135594
0.214081,0.687761347
0.2187458,0.342421491
0.2759729,1.129407247
0.2850407,0.555462134
0.2942632,0.664414427
0.2946321,0.661496062
0.2863735,0.615775011
0.2847551,0.677060675
0.2837674,0.88912853
0.2797809,0.777257873
0.2692018,0.456237725
0.2544815,0.294162721
0.2456874,0.273886734
0.2212091,0.263051419
0.2164372,0.26326598
0.2150925,0.265518867
0.2358461,0.634026871
0.2722839,0.313687744
0.2938943,0.262515017
0.2865639,0.289335105
0.2857904,0.811683131
0.2800903,0.872940211
0.2743069,0.388140308
0.2645132,0.625229882
0.2634065,0.471818981
0.2605148,0.259189326
0.2721768,0.368615284
0.2800427,0.199434171
0.2877182,0.270882885
0.2865163,0.438991194
0.2855643,0.639283608
0.2831605,0.840863386
0.2799475,0.869292679
0.2800427,1.368146308
0.2750923,0.20512003
0.2617762,0.294162721
0.2550527,0.273886734
0.2534224,0.263051419
0.268226,0.26326598
0.2776032,0.265518867
0.2837436,0.634026871
0.3018316,0.313687744
0.3159212,0.262515017
0.3163139,0.289335105
0.3145646,0.811683131
0.3093762,0.872940211
0.3056158,0.388140308
0.3032001,0.625229882
0.3070795,0.471818981
0.305592,0.259189326
0.3177538,0.368615284
0.3285709,0.199434171
0.3556434,0.270882885
0.3748857,0.438991194
0.3433269,0.639283608
0.3316768,0.840863386
0.3170874,0.869292679
0.3123036,1.368146308
0.3070438,0.20512003
0.3004869,0.196597054
0.2998919,0.153485784
0.2986424,0.202514287
0.2995825,0.170392164
0.3004274,0.203721886
0.3054254,0.315666277
0.3164091,0.413602525
0.3436839,0.228356898
0.3712324,0.36541934
0.3479084,0.302744972
0.329154,0.647514376
0.3221092,0.457921394
0.3191461,0.654156168
0.3210501,0.259150662
0.3257149,0.350324357
0.3250961,0.228839937
0.3234658,0.33088202
0.3353539,0.282336555
0.3254412,0.29562014
0.3151953,1.149513119
0.3117919,0.836262039
0.3087098,0.853047659
0.3027479,0.863674527
0.2913001,0.711154823
0.2846956,0.196597054
0.2825298,0.153485784
0.2791145,0.202514287
0.2741998,0.170392164
0.2722363,0.203721886
0.2750447,0.315666277
0.2830891,0.413602525
0.292264,0.228356898
0.2962386,0.36541934
0.2941442,0.302744972
0.2955127,0.647514376
