Heizlast_kW,electric_load_kW,wind_infeed
944.8223733938024,818.665506,1001.855
944.8223733938024,705.083009,868.457
1007.8105316200559,892.839898,716.916
1007.8105316200559,380.487156,605.017
944.8223733938024,511.73699,597.988
970.0176366843039,722.27669,582.173
1007.8105316200559,693.1469,560.325
1083.39632149156,705.840857,516.114
1196.7750062988164,763.437319,491.763
1158.9821113630642,390.57601,488.04
1133.7868480725629,307.923192,551.931
1095.9939531368107,572.317479,560.911
1070.7986898463093,443.76748,408.946
1007.8105316200559,542.33511,296.336
957.420005039053,760.879582,337.908
944.8223733938024,349.225919,432.843
919.627110103301,914.438571,544.493
919.627110103301,602.584041,597.79
932.2247417485518,256.105322,492.956
944.8223733938024,215.18152,543.143
970.0176366843039,326.348376,717.596
1007.8105316200559,468.587008,848.816
1007.8105316200559,324.595852,954.07
995.2128999748053,375.419047,907.791
995.2128999748053,1646.33046,606.232
1007.8105316200559,856.178992,407.894
1033.0057949105571,658.759538,280.014
1007.8105316200559,980.51346,230.321
944.8223733938024,592.826746,179.243
970.0176366843039,388.918217,139.545
1007.8105316200559,235.596056,140.217
1083.39632149156,390.481279,155.87
1196.7750062988164,668.564199,129.311
1158.9821113630642,423.542407,76.448
1133.7868480725629,501.316577,43.501
1095.9939531368107,164.547788,25.171
1070.7986898463093,258.899888,14.846
1007.8105316200559,1020.347855,14.7
957.420005039053,712.235201,24.026
944.8223733938024,917.233136,34.914
919.627110103301,679.600363,30.718
919.627110103301,823.117864,29.105
932.2247417485518,337.337175,27.947
944.8223733938024,525.851912,35.084
970.0176366843039,497.38524,45.859
1007.8105316200559,756.948244,56.572
1007.8105316200559,811.276486,70.581
995.2128999748053,1128.57805,92.42
995.2128999748053,699.114954,134.596
1007.8105316200559,645.781388,189.262
1033.0057949105571,609.404675,240.704
1007.8105316200559,410.043236,281.945
944.8223733938024,586.432402,314.288
1259.76316452507,247.863723,340.798
1511.7157974300837,295.939718,351.365
1889.6447467876048,565.260018,349.153
2204.5855379188724,580.74854,325.211
2204.5855379188724,387.30779,330.79
2141.5973796926187,290.445318,406.45
2078.609221466365,437.420502,492.014
2015.6210632401119,488.243696,421.369
1889.6447467876048,809.950252,199.052
1637.692113882591,405.590878,138.142
1574.7039556563373,1663.713602,98.876
1511.7157974300837,1454.073847,64.16
1385.7394809775767,953.799311,52.386
1322.7513227513234,592.116263,67.837
1196.7750062988164,526.751857,83.687
1133.7868480725629,304.03922,72.703
1133.7868480725629,827.617588,41.398
1070.7986898463093,533.004104,22.939
1007.8105316200559,525.046698,42.036
944.8223733938024,430.220944,72.688
944.8223733938024,583.543106,89.968
1007.8105316200559,1047.014639,107.774
1007.8105316200559,518.889182,132.882
944.8223733938024,683.247508,149.234
1259.76316452507,348.989091,127.189
1511.7157974300837,496.722122,91.135
1889.6447467876048,193.535481,70.327
2204.5855379188724,633.845279,73.841
2204.5855379188724,374.992757,81.471
2141.5973796926187,440.357163,87.016
2078.609221466365,523.625733,82.914
2015.6210632401119,736.249516,69.212
1889.6447467876048,370.540399,51.706
1637.692113882591,567.817756,42.07
1574.7039556563373,578.996016,41.17
1511.7157974300837,572.933231,43.865
1385.7394809775767,784.088683,46.597
1322.7513227513234,1586.128894,50.644
1196.7750062988164,1859.948918,51.33
1133.7868480725629,1451.231916,55.903
1133.7868480725629,1718.562865,60.403
1070.7986898463093,936.08461,51.861
1007.8105316200559,1232.592714,38.737
944.8223733938024,817.14981,36.963
944.8223733938024,419.989993,61.719
1007.8105316200559,731.323502,111.717
1007.8105316200559,549.013647,176.527
944.8223733938024,760.642754,236.242
1259.76316452507,550.434613,277.007
1511.7157974300837,239.006373,291.677
1889.6447467876048,482.986124,296.587
2204.5855379188724,283.387857,316.528
2204.5855379188724,544.419193,357.6
2141.5973796926187,176.247069,415.375
2078.609221466365,369.498358,471.219
2015.6210632401119,455.182569,384.709
1889.6447467876048,447.130432,273.762
1637.692113882591,453.619507,256.948
1574.7039556563373,1212.699199,221.24
1511.7157974300837,1552.878305,194.51
1385.7394809775767,992.97059,176.332
1322.7513227513234,462.808416,168.687
1196.7750062988164,443.672749,175.094
1133.7868480725629,451.345962,187.893
1133.7868480725629,944.515671,216.647
1070.7986898463093,704.325161,271.287
1007.8105316200559,724.408138,365.153
944.8223733938024,678.132033,468.429
944.8223733938024,871.525417,564.059
1007.8105316200559,980.418729,645.221
1007.8105316200559,471.94996,654.49
944.8223733938024,643.365747,587.367
1259.76316452507,335.063631,493.913
1511.7157974300837,496.390564,425.254
1889.6447467876048,564.170611,392.569
2204.5855379188724,249.616247,383.005
2204.5855379188724,800.808708,384.546
2141.5973796926187,318.959357,375.473
2078.609221466365,352.494139,328.312
2015.6210632401119,410.043236,219.408
1889.6447467876048,937.789768,133.708
1637.692113882591,795.882695,118.886
1574.7039556563373,779.446862,120.501
1511.7157974300837,1411.539618,101.673
1385.7394809775767,1074.581367,76.953
1322.7513227513234,678.084667,55.227
1196.7750062988164,481.044138,43.913
1133.7868480725629,902.976117,78.527
1133.7868480725629,521.589016,119.245
1070.7986898463093,622.524922,129.979
1007.8105316200559,948.589105,132.826
944.8223733938024,757.94292,160.814
944.8223733938024,599.742111,186.903
1007.8105316200559,731.228771,186.142
1007.8105316200559,762.868933,193.159
944.8223733938024,262.594397,191.313
1259.76316452507,431.120889,165.367
1511.7157974300837,328.716652,122.578
1889.6447467876048,400.333306,99.152
2204.5855379188724,692.72061,99.284
2204.5855379188724,453.098486,131.586
2141.5973796926187,429.889385,196.624
2078.609221466365,603.720814,278.182
2015.6210632401119,568.528238,289.504
1889.6447467876048,1871.079813,243.288
1637.692113882591,694.425769,206.992
1574.7039556563373,474.034042,196.442
1511.7157974300837,480.002097,180.835
1385.7394809775767,271.688576,159.014
1322.7513227513234,1756.028985,155.203
1196.7750062988164,1159.318267,190.124
1133.7868480725629,685.142128,262.399
1133.7868480725629,1059.471768,353.905
1070.7986898463093,770.447415,443.702
1007.8105316200559,475.691835,498.637
944.8223733938024,559.765619,532.979
944.8223733938024,1424.849326,583.52
1007.8105316200559,654.828201,681.869
1007.8105316200559,691.489107,764.141
944.8223733938024,487.817406,705.4
970.0176366843039,309.912544,651.674
1007.8105316200559,395.64412,692.242
1083.39632149156,266.004714,779.856
1196.7750062988164,320.19086,908.485
1158.9821113630642,171.036863,979.38
1133.7868480725629,486.30171,1054.036
1095.9939531368107,149.532921,1085.425
1070.7986898463093,694.662596,1003.64
1007.8105316200559,565.970501,979.127
957.420005039053,870.767569,904.475
944.8223733938024,174.399814,982.359
919.627110103301,387.686714,983.85
919.627110103301,566.633618,921.212
932.2247417485518,141.386053,995.23
944.8223733938024,499.800881,1289.464
970.0176366843039,220.107533,1601.362
1007.8105316200559,651.891539,1691.97
1007.8105316200559,616.793695,1709.183
995.2128999748053,242.416689,1773.914
995.2128999748053,529.499057,1857.712
1007.8105316200559,415.06398,1915.665
1033.0057949105571,604.005007,1937.293
1007.8105316200559,628.824535,1864.353
944.8223733938024,634.176838,1824.692
970.0176366843039,611.204564,1757.185
1007.8105316200559,472.707808,1706.72
1083.39632149156,523.909926,1793.011
1196.7750062988164,328.242997,1836.016
1158.9821113630642,449.7829,1884.841
1133.7868480725629,388.491928,2172.864
1095.9939531368107,382.855432,1990.302
1070.7986898463093,449.735535,2242.324
1007.8105316200559,378.97146,1899.603
957.420005039053,1076.997008,1734.647
944.8223733938024,774.61558,1634.445
919.627110103301,637.681886,1732.446
919.627110103301,317.206833,1813.386
932.2247417485518,449.26188,1673.727
944.8223733938024,254.068605,1583.898
970.0176366843039,583.969395,1521.575
1007.8105316200559,428.231592,1537.59
1007.8105316200559,464.418843,1673.678
995.2128999748053,692.152224,1702.042
995.2128999748053,738.94935,1970.89
1007.8105316200559,560.712929,2404.552
1033.0057949105571,377.171571,3015.926
1007.8105316200559,1227.14568,3520.102
944.8223733938024,455.79832,3460.407
1259.76316452507,370.161475,3278.539
1511.7157974300837,494.495943,2935.599
1889.6447467876048,544.561289,2552.809
2204.5855379188724,405.827705,2393.261
2204.5855379188724,554.271219,2251.68
2141.5973796926187,724.881793,2039.53
2078.609221466365,338.189754,1785.168
2015.6210632401119,559.43406,2368.766
1889.6447467876048,356.8044,3297.037
1637.692113882591,500.274536,3663.137
1574.7039556563373,497.053681,3775.858
1511.7157974300837,258.805157,3734.701
1385.7394809775767,1063.924126,3572.656
1322.7513227513234,832.022581,3413.237
1196.7750062988164,886.635016,3170.388
1133.7868480725629,625.319487,2957.673
1133.7868480725629,703.141023,2791.016
1070.7986898463093,633.182162,2548.189
1007.8105316200559,662.738241,2388.131
944.8223733938024,465.460885,2307.877
944.8223733938024,801.282363,2075.063
1007.8105316200559,821.838995,1848.496
1007.8105316200559,1031.810309,1875.889
944.8223733938024,658.854269,1852.726
1259.76316452507,236.259173,1967.348
1511.7157974300837,243.079807,1955.907
1889.6447467876048,386.928866,2117.024
2204.5855379188724,278.035554,2261.7
2204.5855379188724,284.524629,2406.126
2141.5973796926187,543.756076,2286.403
2078.609221466365,538.451138,1920.518
2015.6210632401119,216.365658,1864.447
1889.6447467876048,662.785607,2042.172
1637.692113882591,1065.439823,2422.977
1574.7039556563373,1903.61992,2705.305
1511.7157974300837,2631.438374,2863.786
1385.7394809775767,2147.315478,2751.115
1322.7513227513234,1171.064914,2453.273
1196.7750062988164,6165.331845,2352.292
1133.7868480725629,1048.388238,2178.539
1133.7868480725629,818.949699,1809.194
