PV,wind,electrical load
0.0,0.042,73599.06
0.0,0.047,72374.13
0.0,0.046,68846.98
0.0,0.042,65033.38
0.0,0.036,62252.95
0.0,0.037,58547.86
0.0,0.043,56146.58
0.0,0.054,53957.13
0.0,0.067,53069.41
0.0,0.072,53611.74
0.0,0.074,54478.53
0.0,0.08,56945.58
0.0,0.095,62373.65
0.015,0.11,68813.37
0.156,0.106,72655.63
0.248,0.078,72983.26
0.159,0.067,73822.85
0.099,0.071,74537.94
0.059,0.07,75101.14
0.038,0.055,74632.29
0.015,0.052,72658.99
0.0,0.067,72157.08
0.0,0.085,71152.4
0.0,0.106,72202.47
0.0,0.149,73866.23
0.0,0.2,72804.11
0.0,0.253,69177.48
0.0,0.288,65630.4
0.0,0.273,62867.37
0.0,0.32,59439.94
0.0,0.382,56829.42
0.0,0.425,54733.08
0.0,0.433,54294.97
0.0,0.416,54587.59
0.0,0.404,55309.46
0.0,0.391,57708.38
0.0,0.382,63217.55
0.0,0.344,70211.21
0.005,0.334,73934.49
0.016,0.314,74644.55
0.024,0.314,75434.74
0.026,0.313,76641.94
0.026,0.296,77276.97
0.014,0.281,77107.1
0.003,0.286,75755.74
0.0,0.283,75502.75
0.0,0.288,73879.42
0.0,0.288,75032.76
0.0,0.293,76431.68
0.0,0.293,75167.09
0.0,0.278,72053.9
0.0,0.244,67040.37
0.0,0.253,64052.62
0.0,0.253,61210.79
0.0,0.24,58585.68
0.0,0.228,56813.13
0.0,0.219,56573.89
0.0,0.212,55844.12
0.0,0.208,56602.87
0.0,0.208,58712.54
0.0,0.247,63750.35
0.003,0.238,71631.98
0.038,0.196,74670.07
0.075,0.163,75364.27
0.077,0.162,76937.26
0.065,0.174,77829.06
0.045,0.183,77902.42
0.017,0.153,76736.17
0.004,0.135,75038.8
0.0,0.138,74781.44
0.0,0.145,74346.38
0.0,0.18,75770.7
0.0,0.204,77228.22
0.0,0.235,75809.86
0.0,0.437,72586.46
0.0,0.615,68463.32
0.0,0.62,65317.25
0.0,0.501,62181.96
0.0,0.39,59129.17
0.0,0.335,57024.8
0.0,0.316,55601.89
0.0,0.32,55514.14
0.0,0.333,56546.62
0.0,0.336,59080.58
0.0,0.324,65298.29
0.004,0.312,72040.33
0.047,0.308,74892.76
0.106,0.364,75892.95
0.174,0.469,76032.16
0.174,0.494,75754.59
0.12,0.492,75287.49
0.053,0.488,73442.64
0.015,0.504,71899.91
0.0,0.507,71100.21
0.0,0.453,69860.93
0.0,0.41,70916.79
0.0,0.372,73037.0
0.0,0.343,72636.03
0.0,0.31,69070.44
0.0,0.284,64751.3
0.0,0.257,62164.61
0.0,0.255,59220.2
0.0,0.219,56055.49
0.0,0.205,53731.8
0.0,0.191,52106.2
0.0,0.183,51067.11
0.0,0.156,51257.8
0.0,0.136,51822.28
0.0,0.12,52409.43
0.009,0.1,55183.23
0.065,0.069,57726.51
0.124,0.04,62141.87
0.252,0.032,64949.89
0.355,0.026,66591.27
0.366,0.019,66271.56
0.289,0.008,65158.3
0.151,0.007,64051.25
0.018,0.028,62707.35
0.0,0.075,61752.06
0.0,0.155,64620.41
0.0,0.24,66517.25
0.0,0.279,64150.91
0.0,0.269,61100.91
0.0,0.253,57575.77
0.0,0.249,56431.61
0.0,0.248,53565.42
0.0,0.265,51284.3
0.0,0.281,48678.32
0.0,0.275,47098.99
0.0,0.216,46715.04
0.0,0.174,46278.52
0.0,0.15,46834.0
0.0,0.146,46659.44
0.005,0.145,47949.43
0.038,0.139,49864.99
0.076,0.137,53332.62
0.102,0.279,56412.37
0.113,0.432,57839.64
0.1,0.477,59089.41
0.064,0.493,58336.34
0.023,0.478,56506.49
0.0,0.461,54877.12
0.0,0.399,54897.89
0.0,0.307,58218.53
0.0,0.245,63015.5
0.0,0.198,61590.55
0.0,0.167,59064.34
0.0,0.126,56809.65
0.0,0.091,56996.78
0.0,0.074,54990.33
0.0,0.069,53280.31
0.0,0.067,51387.32
0.0,0.07,50563.69
0.0,0.081,50736.95
0.0,0.099,51903.66
0.0,0.117,54601.94
0.0,0.122,60992.81
0.01,0.115,68272.57
0.08,0.12,72400.15
0.214,0.1,73808.24
0.328,0.064,75426.97
0.404,0.055,76021.26
0.439,0.04,76820.85
0.384,0.022,76836.7
0.203,0.012,75092.49
0.028,0.014,74040.03
0.0,0.04,73458.09
0.0,0.106,75208.55
0.0,0.208,77503.74
0.0,0.288,76055.83
0.0,0.304,72838.5
0.0,0.31,69053.76
0.0,0.317,66366.54
0.0,0.335,63118.66
0.0,0.358,57327.16
0.0,0.341,55816.42
0.0,0.347,54831.97
0.0,0.287,54733.26
0.0,0.218,55098.8
